sample_line_no,const_to_unfold,trigger
402,0,(5+5+2)*33
407,0,(5+5+2)*33
410,0,(5+5+2)*33
412,0,2*(4-2)
414,0,2*(4-2)
420,0,(4*4*2)
421,0,(5+5+2)*33
422,0,3*(9-3)
423,0,(4+6)*2
424,0,2*(4-2)
426,7,2*(4-2)
427,0,(4+6)*2
428,100,(4+6)*2
429,0,(4+6)*2
432,0,2*(4-2)
433,1,(4*4*2)
436,1,(4+6)*2
437,0,(4+6)*2
441,0,(4*4*2)
446,0,(4*4*2)
451,0,2*(4-2)
452,1,2*(4-2)
453,1,2*(4-2)
454,0,(4+6)*2
456,1,2*(4-2)
457,0,(4*4*2)
458,8,2*(4-2)
459,0,2*(4-2)
460,0,(4+6)*2
461,0,2*(4-2)
465,5,(4+6)*2
468,0,(4+6)*2
469,0,2*(4-2)
470,0,(5+5+2)*33
471,0,(5+5+2)*33
472,1,(4+6)*2
474,0,(5+5+2)*33
476,5,(4+6)*2
478,0,(5+5+2)*33
479,0,(5+5+2)*33
480,0,(4+6)*2
481,0,3*(9-3)
482,4,(4*4*2)
483,31,(4*4*2)
484,0,2*(4-2)
485,0,3*(9-3)
487,0,(4+6)*2
488,0,2*(4-2)
489,0,3*(9-3)
491,0,(4*4*2)
493,0,2*(4-2)
495,3,(4*4*2)
496,0,(4+6)*2
499,0,(4+6)*2
500,0,(5+5+2)*33
501,0,(4+6)*2
503,0,2*(4-2)
504,0,(4*4*2)
505,0,(4+6)*2
506,0,(4+6)*2
509,0,(4*4*2)
510,1,(4*4*2)
511,1,(4+6)*2
512,0,3*(9-3)
515,0,(4+6)*2
516,0,3*(9-3)
525,0,(4*4*2)
526,7,(5+5+2)*33
527,0,(4+6)*2
530,0,(4+6)*2
531,1,(5+5+2)*33
533,8,(5+5+2)*33
534,0,(4+6)*2
535,0,(5+5+2)*33
536,1,2*(4-2)
537,0,(4+6)*2
541,1,3*(9-3)
544,0,(5+5+2)*33
547,0,3*(9-3)
550,0,3*(9-3)
551,0,3*(9-3)
555,0,2*(4-2)
556,0,(4+6)*2
558,1,(5+5+2)*33
563,0,(4+6)*2
564,0,3*(9-3)
565,3,(5+5+2)*33
569,2,(4+6)*2
570,0,(4*4*2)
571,8,2*(4-2)
573,0,(5+5+2)*33
576,1,(4*4*2)
577,0,(4+6)*2
579,0,3*(9-3)
580,15,3*(9-3)
581,0,(4*4*2)
582,999,(5+5+2)*33
583,0,(4+6)*2
586,0,(4*4*2)
591,0,(4+6)*2
592,8,(5+5+2)*33
594,0,(4*4*2)
598,217,(4+6)*2
599,0,(5+5+2)*33
601,0,2*(4-2)
602,1,(4*4*2)
604,16,(4+6)*2
607,2,(5+5+2)*33
608,1,(4+6)*2
609,0,3*(9-3)
610,0,(5+5+2)*33
611,0,3*(9-3)
613,0,3*(9-3)
614,8,(5+5+2)*33
617,0,(4+6)*2
619,0,(5+5+2)*33
622,0,(4*4*2)
624,0,(5+5+2)*33
626,0,(4+6)*2
631,0,(5+5+2)*33
633,0,(4*4*2)
635,2,(4*4*2)
636,0,3*(9-3)
637,1,(5+5+2)*33
639,1,(5+5+2)*33
642,0,2*(4-2)
643,0,(4*4*2)
644,0,(5+5+2)*33
646,0,2*(4-2)
647,1,(5+5+2)*33
648,0,3*(9-3)
649,1,(5+5+2)*33
652,0,3*(9-3)
655,0,(4*4*2)
659,0,(5+5+2)*33
660,1,2*(4-2)
661,0,(4*4*2)
666,0,(4*4*2)
667,1,3*(9-3)
668,0,2*(4-2)
670,0,(4*4*2)
671,0,(4+6)*2
676,0,2*(4-2)
677,4,(4+6)*2
678,0,3*(9-3)
679,0,(4+6)*2
682,1,3*(9-3)
683,0,(4*4*2)
685,0,(4*4*2)
689,1,3*(9-3)
690,16,(4*4*2)
692,0,(4*4*2)
693,0,3*(9-3)
694,0,3*(9-3)
695,0,3*(9-3)
697,0,(4+6)*2
700,0,(4+6)*2
704,0,3*(9-3)
705,9,(4+6)*2
706,0,2*(4-2)
708,0,3*(9-3)
709,0,3*(9-3)
710,0,3*(9-3)
711,0,(5+5+2)*33
714,0,3*(9-3)
715,0,2*(4-2)
716,0,(4*4*2)
718,0,2*(4-2)
719,0,2*(4-2)
722,4,(4*4*2)
723,1,3*(9-3)
726,0,2*(4-2)
727,0,(4*4*2)
728,0,(5+5+2)*33
729,0,(5+5+2)*33
730,0,(4+6)*2
733,1,(4+6)*2
737,8,(4*4*2)
738,0,(4+6)*2
739,0,3*(9-3)
741,0,(5+5+2)*33
743,64,(4*4*2)
746,3,(4*4*2)
747,0,2*(4-2)
748,0,3*(9-3)
749,1,2*(4-2)
750,1,(4*4*2)
751,1,(5+5+2)*33
753,0,(5+5+2)*33
754,0,(4*4*2)
755,1,(4*4*2)
757,0,(4+6)*2
759,2,3*(9-3)
760,0,2*(4-2)
763,1,(5+5+2)*33
767,0,2*(4-2)
768,0,(4+6)*2
769,16,(4+6)*2
771,0,(4*4*2)
772,0,3*(9-3)
773,0,3*(9-3)
774,0,3*(9-3)
777,1,(4*4*2)
780,0,3*(9-3)
785,0,2*(4-2)
788,0,3*(9-3)
790,3,2*(4-2)
792,1,2*(4-2)
793,1,(5+5+2)*33
794,0,3*(9-3)
795,0,2*(4-2)
796,0,(4*4*2)
798,0,(4+6)*2
801,9,(5+5+2)*33
805,0,(4*4*2)
808,0,3*(9-3)
811,0,3*(9-3)
813,0,(4+6)*2
822,0,(5+5+2)*33
826,0,2*(4-2)
829,0,(4+6)*2
831,0,(4+6)*2
834,0,2*(4-2)
836,0,3*(9-3)
841,1,(4+6)*2
843,0,(4+6)*2
845,0,(4+6)*2
848,0,2*(4-2)
850,0,(4+6)*2
852,0,(4*4*2)
853,4,(5+5+2)*33
854,1,(4*4*2)
860,3,(4*4*2)
861,1,2*(4-2)
862,0,(4+6)*2
867,0,(4*4*2)
869,1,2*(4-2)
870,0,(4+6)*2
871,0,3*(9-3)
872,0,3*(9-3)
873,0,2*(4-2)
875,0,(4*4*2)
888,7,(4+6)*2
889,1,(4*4*2)
891,0,(4+6)*2
893,0,(4*4*2)
895,1,2*(4-2)
896,0,2*(4-2)
897,0,(5+5+2)*33
898,0,3*(9-3)
902,0,(5+5+2)*33
905,0,(4+6)*2
908,0,3*(9-3)
909,0,3*(9-3)
910,0,3*(9-3)
911,0,(5+5+2)*33
912,0,3*(9-3)
913,2,3*(9-3)
916,0,(5+5+2)*33
919,0,3*(9-3)
920,0,(4*4*2)
921,0,3*(9-3)
922,1,(4+6)*2
926,0,(4*4*2)
927,0,(5+5+2)*33
928,0,(5+5+2)*33
929,1,(5+5+2)*33
931,0,(4*4*2)
935,2,(4+6)*2
937,0,(4+6)*2
938,0,(4+6)*2
940,8,(4+6)*2
942,0,(5+5+2)*33
943,0,3*(9-3)
944,3,(4+6)*2
945,0,2*(4-2)
948,1,3*(9-3)
955,0,(5+5+2)*33
956,0,3*(9-3)
957,1,(4+6)*2
958,1,2*(4-2)
961,0,3*(9-3)
962,1,3*(9-3)
966,0,3*(9-3)
967,3,(4*4*2)
968,0,(4*4*2)
971,0,(4*4*2)
973,0,3*(9-3)
975,8,(4+6)*2
976,1,(4*4*2)
977,1,2*(4-2)
985,0,2*(4-2)
990,1,(4+6)*2
992,220,(4*4*2)
993,0,3*(9-3)
994,0,2*(4-2)
995,0,2*(4-2)
996,8,2*(4-2)
998,0,(4+6)*2
1001,1,(4+6)*2
1002,0,3*(9-3)
1004,1,(4*4*2)
1005,0,(5+5+2)*33
1007,0,2*(4-2)
1012,1,2*(4-2)
1013,1,(4+6)*2
1015,1,(4*4*2)
1018,4,3*(9-3)
1019,0,3*(9-3)
1021,1,2*(4-2)
1028,1,2*(4-2)
1029,1,(4+6)*2
1030,0,3*(9-3)
1032,1,3*(9-3)
1038,0,2*(4-2)
1042,1,3*(9-3)
1044,0,2*(4-2)
1045,15,(4+6)*2
1048,200,2*(4-2)
1049,5,(5+5+2)*33
1052,0,(4+6)*2
1053,1,2*(4-2)
1055,8,(4+6)*2
1058,0,3*(9-3)
1059,1,2*(4-2)
1060,1,(4+6)*2
1062,1,3*(9-3)
1063,0,2*(4-2)
1064,0,(4+6)*2
1066,1,(4*4*2)
1070,0,(5+5+2)*33
1071,2,(5+5+2)*33
1073,1,(4+6)*2
1075,0,(4+6)*2
1078,3,2*(4-2)
1079,4,2*(4-2)
1080,0,2*(4-2)
1081,1,2*(4-2)
1082,0,(5+5+2)*33
1085,1,(4+6)*2
1086,0,3*(9-3)
1087,0,(5+5+2)*33
1088,127,3*(9-3)
1089,1,(4+6)*2
1091,0,(5+5+2)*33
1092,1,2*(4-2)
1093,0,(4+6)*2
1095,0,(5+5+2)*33
1097,0,(5+5+2)*33
1099,0,(5+5+2)*33
1100,0,3*(9-3)
1101,1,(4+6)*2
1102,0,(4*4*2)
1104,0,3*(9-3)
1108,0,(5+5+2)*33
1112,0,(4+6)*2
1114,0,3*(9-3)
1115,256,(5+5+2)*33
1116,0,(5+5+2)*33
1117,0,3*(9-3)
1119,0,(5+5+2)*33
1120,2,(5+5+2)*33
1123,0,3*(9-3)
1125,0,2*(4-2)
1127,1,2*(4-2)
1128,1,2*(4-2)
1129,0,(4+6)*2
1130,0,(4+6)*2
1131,2,3*(9-3)
1133,4,(4+6)*2
1135,1,2*(4-2)
1137,1,2*(4-2)
1138,0,(5+5+2)*33
1142,0,(4+6)*2
1144,0,(5+5+2)*33
1145,0,3*(9-3)
1146,0,3*(9-3)
1147,0,(5+5+2)*33
1148,0,(4*4*2)
1151,1,(5+5+2)*33
1155,0,(4*4*2)
1156,1,(4*4*2)
1157,1,(4+6)*2
1158,0,(4+6)*2
1160,1,(4+6)*2
1163,1,3*(9-3)
1165,0,(4+6)*2
1167,1,(4*4*2)
1169,0,2*(4-2)
1170,0,2*(4-2)
1171,256,(5+5+2)*33
1174,0,(4+6)*2
1177,1,3*(9-3)
1178,0,(5+5+2)*33
1184,1,(4+6)*2
1185,3,(4+6)*2
1190,0,3*(9-3)
1192,0,3*(9-3)
1196,1,(5+5+2)*33
1197,0,(5+5+2)*33
1198,1,(5+5+2)*33
1199,0,3*(9-3)
1200,0,3*(9-3)
1201,2,2*(4-2)
1202,0,(4*4*2)
1204,0,3*(9-3)
1205,0,3*(9-3)
1206,2,(5+5+2)*33
1207,1,(5+5+2)*33
1210,0,(4*4*2)
1211,0,(4+6)*2
1214,1,(4*4*2)
1224,0,(5+5+2)*33
1225,1,(5+5+2)*33
1226,0,(4+6)*2
1227,1,3*(9-3)
1229,0,3*(9-3)
1232,1,(4+6)*2
1233,0,2*(4-2)
1234,0,(5+5+2)*33
1236,0,(4*4*2)
1237,0,(4*4*2)
1240,0,(4*4*2)
1242,0,2*(4-2)
1243,0,2*(4-2)
1247,0,2*(4-2)
1248,1,3*(9-3)
1249,0,3*(9-3)
1251,0,(4+6)*2
1252,4,(5+5+2)*33
1253,0,2*(4-2)
1255,0,3*(9-3)
1257,0,2*(4-2)
1258,0,(4+6)*2
1259,0,(4+6)*2
1262,0,(4+6)*2
1264,0,(4+6)*2
1265,1,(4*4*2)
1267,1,2*(4-2)
1268,0,(4*4*2)
1272,0,(5+5+2)*33
1273,0,(5+5+2)*33
1274,0,(4+6)*2
1275,0,(4+6)*2
1276,0,2*(4-2)
1282,1,(4+6)*2
1284,1,2*(4-2)
1285,1,(5+5+2)*33
1286,0,2*(4-2)
1287,0,(4+6)*2
1289,0,3*(9-3)
1290,0,(5+5+2)*33
1291,0,(4*4*2)
1292,3,3*(9-3)
1296,5000,(4+6)*2
1297,0,(4+6)*2
1301,0,3*(9-3)
1302,1,(4*4*2)
1303,64,3*(9-3)
1308,0,(4+6)*2
1311,0,3*(9-3)
1313,0,3*(9-3)
1315,0,3*(9-3)
1321,24,(4+6)*2
1322,0,(4*4*2)
1324,0,3*(9-3)
1325,0,3*(9-3)
1328,1,3*(9-3)
1331,0,3*(9-3)
1333,1,(5+5+2)*33
1335,0,2*(4-2)
1336,0,(4+6)*2
1337,0,(4*4*2)
1338,0,(5+5+2)*33
1341,0,2*(4-2)
1343,0,(5+5+2)*33
1344,0,3*(9-3)
1347,3,(4+6)*2
1348,0,(5+5+2)*33
1349,5,2*(4-2)
1350,1,2*(4-2)
1351,0,(4*4*2)
1352,0,(4*4*2)
1356,0,2*(4-2)
1363,1,(4+6)*2
1364,0,(4*4*2)
1365,8,(4*4*2)
1366,0,(4+6)*2
1367,0,(4+6)*2
1370,1,(4*4*2)
1371,0,2*(4-2)
1372,0,(4*4*2)
1373,0,(5+5+2)*33
1374,1,(5+5+2)*33
1375,1024,3*(9-3)
1381,1,3*(9-3)
1383,0,(5+5+2)*33
1385,0,(5+5+2)*33
1387,0,3*(9-3)
1389,8,3*(9-3)
1391,2,2*(4-2)
1392,16,(4+6)*2
1394,1,3*(9-3)
1397,0,2*(4-2)
1400,0,(4+6)*2
1401,0,3*(9-3)
1402,2,2*(4-2)
1403,3,(4*4*2)
1404,0,2*(4-2)
1407,0,(4+6)*2
1409,1,(4+6)*2
1413,1,(5+5+2)*33
1414,0,(4+6)*2
1417,0,(4*4*2)
1418,3,(5+5+2)*33
1420,7,3*(9-3)
1425,1,(5+5+2)*33
1426,1,(5+5+2)*33
1428,70,(4*4*2)
1432,0,(5+5+2)*33
1433,0,2*(4-2)
1435,4,(5+5+2)*33
1437,2,3*(9-3)
1438,0,(4+6)*2
1439,1,2*(4-2)
1440,0,3*(9-3)
1441,0,(4+6)*2
1443,0,2*(4-2)
1444,0,(4*4*2)
1450,1,(4*4*2)
1451,1,(4*4*2)
1452,0,3*(9-3)
1456,1,3*(9-3)
1459,1,3*(9-3)
1463,1,(4*4*2)
1466,1,3*(9-3)
1467,12,3*(9-3)
1471,0,3*(9-3)
1473,4,(4*4*2)
1475,3,(5+5+2)*33
1476,1,3*(9-3)
1477,0,3*(9-3)
1480,1,(5+5+2)*33
1481,0,2*(4-2)
1484,1,3*(9-3)
1485,0,2*(4-2)
1486,0,2*(4-2)
1490,0,(4*4*2)
1492,4,(4+6)*2
1493,5,(5+5+2)*33
1494,1,(5+5+2)*33
1497,0,3*(9-3)
1499,0,2*(4-2)
1500,1,(4+6)*2
1501,0,(4*4*2)
1502,16,2*(4-2)
1503,1,2*(4-2)
1504,1,(5+5+2)*33
1511,16,(4*4*2)
1512,0,3*(9-3)
1513,0,(4*4*2)
1514,4,(4*4*2)
1516,0,(4+6)*2
1517,0,2*(4-2)
1518,0,(4*4*2)
1519,0,3*(9-3)
1520,1,3*(9-3)
1521,0,2*(4-2)
1526,1,3*(9-3)
1527,0,(4*4*2)
1528,0,(4+6)*2
1532,0,(4*4*2)
1539,0,3*(9-3)
1540,0,(4+6)*2
1542,1,3*(9-3)
1543,0,(5+5+2)*33
1544,1,2*(4-2)
1545,1,(4*4*2)
1546,5,(4*4*2)
1547,0,2*(4-2)
1548,1,2*(4-2)
1549,0,(4+6)*2
1550,0,(5+5+2)*33
1552,0,(5+5+2)*33
1554,0,(5+5+2)*33
1555,10,(4+6)*2
1559,0,2*(4-2)
1562,0,(5+5+2)*33
1566,2,2*(4-2)
1567,0,3*(9-3)
1570,0,(4+6)*2
1572,0,2*(4-2)
1576,8,(4+6)*2
1577,0,3*(9-3)
1584,0,(4+6)*2
1587,0,(4+6)*2
1589,0,(5+5+2)*33
1591,1,(4*4*2)
1595,5004,3*(9-3)
1596,0,2*(4-2)
1598,1,3*(9-3)
1599,0,(4*4*2)
1600,0,(5+5+2)*33
1606,0,(4*4*2)
1608,0,(5+5+2)*33
1614,0,(5+5+2)*33
1618,0,(4+6)*2
1619,0,(4*4*2)
1620,0,(4*4*2)
1625,1,(4*4*2)
1626,0,(4+6)*2
1629,0,(4+6)*2
1631,0,(4*4*2)
1635,0,2*(4-2)
1640,1,(4+6)*2
1643,0,2*(4-2)
1644,0,(5+5+2)*33
1645,1,(4*4*2)
1646,0,(5+5+2)*33
1647,255,(5+5+2)*33
1649,0,(4+6)*2
1650,1,3*(9-3)
1651,0,(4+6)*2
1652,3,(4*4*2)
1653,1,(5+5+2)*33
1655,1,(4*4*2)
1659,0,3*(9-3)
1660,1,(4+6)*2
1663,0,(4*4*2)
1664,15,(4+6)*2
1668,0,(4+6)*2
1671,0,(4*4*2)
1674,0,(4*4*2)
1675,2,(4+6)*2
1677,0,(4*4*2)
1679,1,(4*4*2)
1682,0,(5+5+2)*33
1684,1,(4*4*2)
1693,1,3*(9-3)
1695,0,(4+6)*2
1696,0,3*(9-3)
1697,1,(4+6)*2
1698,0,(4+6)*2
1699,0,3*(9-3)
1700,0,3*(9-3)
1701,16,(4+6)*2
1702,32,(4*4*2)
1704,0,3*(9-3)
1706,0,(4*4*2)
1707,0,2*(4-2)
1709,1,3*(9-3)
1710,2,(4*4*2)
1711,0,(4+6)*2
1713,0,(4+6)*2
1714,4,(4+6)*2
1717,7,(4*4*2)
1722,1,2*(4-2)
1724,0,2*(4-2)
1729,0,2*(4-2)
1733,1,3*(9-3)
1735,1,3*(9-3)
1736,0,2*(4-2)
1738,0,3*(9-3)
1739,1,3*(9-3)
1741,0,3*(9-3)
1742,0,(4+6)*2
1743,1,(4+6)*2
1744,0,3*(9-3)
1745,0,2*(4-2)
1749,4,(5+5+2)*33
1753,0,(4*4*2)
1755,0,2*(4-2)
1757,0,(5+5+2)*33
1759,0,(5+5+2)*33
1762,1,(5+5+2)*33
1766,0,(4+6)*2
1768,0,2*(4-2)
1770,0,(4*4*2)
1771,0,3*(9-3)
1772,0,3*(9-3)
1773,0,(4+6)*2
1774,0,(4*4*2)
1775,4,(5+5+2)*33
1778,0,3*(9-3)
1782,0,(4*4*2)
1784,1,(4+6)*2
1786,0,(4*4*2)
1788,0,3*(9-3)
1789,1,(4+6)*2
1790,0,(4*4*2)
1791,5,2*(4-2)
1792,4,3*(9-3)
1795,0,2*(4-2)
1796,1,(4+6)*2
1799,11,(4*4*2)
1800,480,(4*4*2)
1801,4,(4+6)*2
1803,0,2*(4-2)
1805,0,2*(4-2)
1808,1,2*(4-2)
1809,0,(4*4*2)
1810,16,(4+6)*2
1811,0,(4*4*2)
1813,0,3*(9-3)
1815,1,(4*4*2)
1818,2048,2*(4-2)
1819,0,3*(9-3)
1825,0,3*(9-3)
1826,0,(4*4*2)
1828,31,3*(9-3)
1833,0,(4*4*2)
1835,0,2*(4-2)
1838,0,(4*4*2)
1840,0,(5+5+2)*33
1841,0,(4+6)*2
1842,0,(4+6)*2
1845,1024,(5+5+2)*33
1846,1,2*(4-2)
1847,0,(4*4*2)
1849,1,3*(9-3)
1851,0,(5+5+2)*33
1852,0,(5+5+2)*33
1853,0,(4*4*2)
1854,0,(4*4*2)
1855,32,(4*4*2)
1859,0,3*(9-3)
1860,0,3*(9-3)
1861,0,2*(4-2)
1862,0,3*(9-3)
1864,6,(5+5+2)*33
1865,1,2*(4-2)
1866,1,3*(9-3)
1868,0,(4+6)*2
1870,1,3*(9-3)
1871,1,(5+5+2)*33
1873,0,2*(4-2)
1875,0,3*(9-3)
1876,1,2*(4-2)
1877,0,(4*4*2)
1878,0,2*(4-2)
1879,0,2*(4-2)
1881,0,2*(4-2)
1882,0,(5+5+2)*33
1884,0,(5+5+2)*33
1885,0,(4*4*2)
1888,0,(5+5+2)*33
1890,9,2*(4-2)
1892,0,2*(4-2)
1894,3,3*(9-3)
1895,0,(5+5+2)*33
1896,0,(4+6)*2
1897,0,(4+6)*2
1900,10000000,(5+5+2)*33
1901,0,(4*4*2)
1902,0,3*(9-3)
1903,0,(4+6)*2
1905,0,(4+6)*2
1908,0,(5+5+2)*33
1909,1,2*(4-2)
