sample_line_no,var_to_rename,trigger
340,x,set_count_
341,options,ret_Val_
342,klass,get_count_
343,ret,set_count_
345,lit,init_Val_
346,current_mb,init_Val_
347,value,get_count_
348,PPC_io_memory,ret_Val_
349,ret,init_Val_
350,timestamp,get_frame_
351,table_data,ret_Val_
352,ip,get_frame_
353,size,ret_Val_
354,ret,get_frame_
355,ioc,init_Val_
356,scr,get_frame_
357,dev,ret_Val_
358,source,init_Val_
359,file_size,init_Val_
360,next_pos,init_Val_
361,sp,set_count_
362,dev,init_Val_
363,pagesize,get_count_
364,s,get_count_
365,size,init_Val_
366,con,init_Val_
367,bios_filename,get_frame_
368,stride,get_count_
369,pci_dev,set_count_
370,poutbuf,set_count_
371,source,init_Val_
372,frame,init_Val_
373,len,get_frame_
374,nal_index,get_frame_
375,mb_height,set_count_
377,resizeable,ret_Val_
378,bs,ret_Val_
379,x1,ret_Val_
381,err,get_frame_
382,err,init_Val_
383,inlink,set_count_
384,version,ret_Val_
385,offset,init_Val_
387,r,get_frame_
388,klass,get_frame_
389,ret,set_count_
390,c,init_Val_
391,xhci,get_frame_
392,token,init_Val_
393,my_idx,ret_Val_
394,offset,get_frame_
395,len,ret_Val_
396,len,get_count_
397,bs,set_count_
398,filter_type,get_count_
399,cpu_model,get_frame_
400,width,ret_Val_
401,kernel_filename,init_Val_
402,l1_start_index,get_frame_
404,h,get_count_
405,port,get_count_
407,resync_mb_y,set_count_
408,reg,get_frame_
409,qf,get_count_
410,env,set_count_
411,ts,set_count_
412,s,ret_Val_
413,chr,init_Val_
414,cuvid_codec_type,set_count_
415,str,set_count_
416,n,init_Val_
419,arg1,init_Val_
420,reply,get_frame_
421,index_in_cluster,get_count_
422,j,set_count_
423,avctxt,get_frame_
424,j,init_Val_
425,op1,set_count_
426,move_opt,set_count_
427,ctx,get_frame_
428,progress,set_count_
429,ret,get_frame_
430,ctx,get_frame_
431,info,init_Val_
432,nb_clusters,get_frame_
433,args,init_Val_
434,addr,init_Val_
435,avctx,set_count_
436,height,init_Val_
437,fd,ret_Val_
438,bs,get_frame_
439,value,set_count_
440,stream,ret_Val_
441,mul,get_count_
442,T0,ret_Val_
443,vect_off,init_Val_
444,addr,init_Val_
445,i,get_frame_
446,j,init_Val_
447,alloc_fseg,get_count_
448,errp,get_frame_
449,errp,get_frame_
451,offset,set_count_
452,vbrtag_size,set_count_
453,tmp0,get_count_
454,s,ret_Val_
455,f,ret_Val_
456,avctx,ret_Val_
457,ret,get_count_
458,buf,init_Val_
459,ady,ret_Val_
460,j,init_Val_
461,loglevel,get_frame_
463,RAM_size,set_count_
465,p,init_Val_
466,s,ret_Val_
467,q,ret_Val_
468,s,get_frame_
469,srp,ret_Val_
470,i,ret_Val_
471,i,get_count_
472,size,set_count_
473,rdma_ram_block,get_count_
474,i,get_frame_
475,errp,get_count_
476,a1,get_frame_
477,machine,ret_Val_
478,nc,get_count_
479,streams_left,get_count_
480,time_div,ret_Val_
481,avctx,ret_Val_
482,mem_index,ret_Val_
483,i,get_frame_
484,i,init_Val_
485,ret,init_Val_
486,bs,get_count_
487,rc,ret_Val_
488,i,ret_Val_
489,i,ret_Val_
490,val,get_count_
491,len,ret_Val_
493,offset,get_count_
494,sender,get_count_
495,mb_cbp,set_count_
496,old_idx,init_Val_
497,pb,init_Val_
498,slave,set_count_
499,refc,get_frame_
500,vs,get_count_
501,x,set_count_
502,h,get_count_
503,z1,init_Val_
504,pic,set_count_
505,sockfd,set_count_
506,in_plb,ret_Val_
507,ctx,ret_Val_
508,dev,set_count_
509,ret,get_frame_
511,end,ret_Val_
512,diff,init_Val_
513,ret,get_frame_
514,uls,get_count_
515,err,get_count_
516,v,get_frame_
517,control,get_frame_
518,avctx,get_count_
519,flags,get_count_
521,qxl,ret_Val_
522,errp,init_Val_
523,bus,ret_Val_
524,ch,get_frame_
525,nb_planes,get_count_
526,fp,init_Val_
527,ctx,set_count_
528,n,set_count_
529,linker,get_count_
530,i2c,get_frame_
531,cpu,ret_Val_
532,val,get_count_
533,bit_depth,init_Val_
534,p,set_count_
535,index_in_cluster,get_count_
536,pos,set_count_
537,ioc,ret_Val_
538,conf,get_frame_
539,offset,get_count_
540,size,init_Val_
541,drc_index,init_Val_
543,token,get_frame_
544,o,get_frame_
545,mon,get_frame_
546,ctx,get_count_
547,properties,get_frame_
548,dst,ret_Val_
549,p,get_frame_
550,j,get_count_
551,pb,init_Val_
552,queue,get_frame_
554,count,ret_Val_
555,data,ret_Val_
556,gb,get_frame_
557,errp,get_frame_
558,avctx,ret_Val_
559,ctx,get_frame_
561,irq,set_count_
563,enc_size,get_count_
564,vc,init_Val_
565,fbw_coeffs,set_count_
567,br,set_count_
568,ctx,init_Val_
569,out_ch,init_Val_
570,pad,ret_Val_
571,rex,ret_Val_
572,ctx,set_count_
573,ctx,get_frame_
574,job,get_count_
575,s,set_count_
576,netdev,set_count_
577,data,set_count_
578,pos,init_Val_
579,bsum,get_frame_
580,planepitch,get_frame_
581,q,get_frame_
582,err,init_Val_
583,offset,ret_Val_
584,c,set_count_
586,certs,ret_Val_
588,base,set_count_
589,d,set_count_
590,handler,get_count_
591,c,get_count_
592,me,set_count_
593,l1,init_Val_
594,s,get_frame_
595,h,get_count_
596,fis,get_frame_
598,inlink,set_count_
599,p,ret_Val_
600,spapr,get_frame_
601,bs,get_count_
602,zywrle_level,set_count_
603,y,set_count_
604,buf,ret_Val_
605,dshmem,set_count_
606,sender,ret_Val_
607,a2,ret_Val_
608,h_align,init_Val_
609,atom,ret_Val_
610,protocol_mask,get_count_
611,dev,get_count_
612,s,set_count_
613,s,set_count_
614,a,init_Val_
615,i,ret_Val_
617,s,ret_Val_
618,data,set_count_
619,is_format_okay,init_Val_
620,cli,get_frame_
621,config,ret_Val_
622,f,get_count_
623,dev,ret_Val_
624,j,ret_Val_
625,obj,get_count_
626,i,ret_Val_
627,frame_rate,get_frame_
628,d,get_count_
629,offset,get_frame_
630,addr,init_Val_
631,ret,set_count_
632,vdev,set_count_
633,set,get_count_
635,gb,set_count_
636,dev,ret_Val_
637,env,get_frame_
638,afq,get_frame_
639,hostname,ret_Val_
640,nc,set_count_
641,s,ret_Val_
642,version,get_frame_
643,cpu,set_count_
644,dctx,set_count_
645,sci_level,set_count_
646,env,get_count_
647,w,init_Val_
648,size_codes,get_count_
649,oc,get_frame_
650,errp,get_frame_
651,n,get_count_
652,x,get_frame_
653,val,get_frame_
654,addr,init_Val_
655,peer,set_count_
656,ext,set_count_
658,v,get_count_
659,buf,get_frame_
661,hw,set_count_
662,errp,set_count_
663,r1,ret_Val_
664,timer_list,init_Val_
665,bus,set_count_
666,fpstate_addr,set_count_
667,matroska,get_count_
668,xpos,init_Val_
669,spapr,ret_Val_
670,i,get_count_
671,val,ret_Val_
672,bs,get_frame_
673,feed,get_count_
674,ctx,init_Val_
675,rect,ret_Val_
676,status,get_frame_
677,j,get_frame_
678,found,set_count_
679,i,get_count_
680,value,get_count_
681,pcms,init_Val_
682,pci_status,get_count_
683,flags,ret_Val_
684,errp,get_count_
685,i,get_count_
687,errp,set_count_
688,options,set_count_
689,vlc,ret_Val_
690,end,get_frame_
691,locty_data,set_count_
692,s,ret_Val_
693,avctx,set_count_
694,i,ret_Val_
695,got_output,get_count_
696,thread1,get_count_
697,bits,get_frame_
698,chrFilter,get_count_
699,flags,set_count_
700,res,ret_Val_
701,addr,init_Val_
703,rlen,ret_Val_
704,j,get_count_
705,i,get_count_
706,s,init_Val_
707,pc,set_count_
708,ret,get_frame_
709,cmp_buf,get_count_
710,ret,get_count_
711,avctx,ret_Val_
712,rd,ret_Val_
713,env,get_count_
714,f2,set_count_
715,len,get_count_
716,size,set_count_
717,drc,get_count_
718,ctx,ret_Val_
719,buf,ret_Val_
720,luma,set_count_
721,vpci_dev,get_frame_
722,s,set_count_
723,desc_len,get_count_
724,s,set_count_
725,errp,get_frame_
726,ret,get_count_
727,n_end,ret_Val_
728,index,set_count_
729,reader_id,get_count_
730,reg,init_Val_
731,s,init_Val_
732,cs,get_frame_
733,credp,init_Val_
734,errp,get_count_
735,ctx,get_frame_
736,ctx,get_count_
737,i,get_frame_
738,ret,get_frame_
739,k,get_frame_
741,p,get_count_
742,var,get_count_
743,i,init_Val_
744,dev,get_frame_
746,vm86,init_Val_
747,s,set_count_
749,codec_string,set_count_
750,ps,set_count_
751,c,get_count_
752,pkt_len,init_Val_
753,field_select1,ret_Val_
754,in_use,init_Val_
755,rem_bits,set_count_
757,ts,ret_Val_
758,vs,get_count_
759,s,get_frame_
760,i,get_count_
761,mr,ret_Val_
762,s,get_frame_
763,ret,ret_Val_
764,mr,ret_Val_
765,smb_conf,init_Val_
766,addr,set_count_
767,vChrBufSize,init_Val_
768,target_type,ret_Val_
769,n,set_count_
770,a,get_count_
771,x,get_count_
772,bitnum,ret_Val_
773,dev,set_count_
774,c,ret_Val_
775,tag,get_frame_
776,dev,get_frame_
777,dev,ret_Val_
778,fpus,get_frame_
779,obj,get_frame_
780,interrupt_request,get_count_
781,pci_dev,get_frame_
782,c,get_count_
783,frame,init_Val_
784,i,get_frame_
785,i,init_Val_
786,dev,get_frame_
788,cpu,ret_Val_
789,task,get_frame_
790,quality,set_count_
791,ventry,get_count_
792,cpu,set_count_
793,p,get_frame_
794,bs,init_Val_
795,inited,set_count_
796,dev,ret_Val_
797,val,get_frame_
798,ret,init_Val_
799,mmcfg_addr,set_count_
800,mm_flags,init_Val_
801,size,set_count_
802,dma,set_count_
803,addr,get_count_
804,render,set_count_
805,p,init_Val_
808,back_frame,set_count_
809,avctx,set_count_
810,flags,ret_Val_
811,s,set_count_
812,tokens,init_Val_
813,line,get_count_
814,cookie,init_Val_
815,cmd,ret_Val_
816,val,set_count_
817,bs,set_count_
818,blk,get_count_
819,stream,init_Val_
820,rc,get_frame_
821,qdict,set_count_
822,sector_write,set_count_
823,qiov,get_count_
824,info,init_Val_
826,n,init_Val_
827,ps,get_frame_
828,count,init_Val_
829,cur_ts,set_count_
830,uas,get_frame_
831,v,get_frame_
832,addr,get_count_
833,pos,ret_Val_
834,i,set_count_
835,s,get_count_
836,peer,ret_Val_
838,cb,ret_Val_
839,base,init_Val_
840,s,set_count_
841,predefined,get_count_
843,acl,get_frame_
844,opp,get_frame_
845,pix_fmt,init_Val_
846,addr,ret_Val_
847,s,init_Val_
848,i,set_count_
850,audio_subsegments,ret_Val_
852,i,init_Val_
853,width,get_frame_
854,vendor,init_Val_
855,len,init_Val_
856,vq,set_count_
857,addr,get_frame_
859,s,init_Val_
860,frame,set_count_
861,sum,set_count_
862,uc,set_count_
863,offset,init_Val_
864,frame,ret_Val_
865,p,ret_Val_
866,dev,ret_Val_
867,ext,init_Val_
868,cb,get_count_
869,m,get_frame_
870,saddr,set_count_
871,num_cc,set_count_
872,s,set_count_
873,start_ts,get_frame_
874,src,ret_Val_
875,fmt,set_count_
876,buf,set_count_
877,p,get_count_
878,r,get_frame_
879,mem_index,set_count_
880,ret,ret_Val_
882,mc,get_frame_
883,stride,get_count_
884,offset,get_count_
885,proxy,get_count_
887,addr,ret_Val_
888,s,init_Val_
890,table_data,init_Val_
891,new_stack,set_count_
892,blk,init_Val_
893,avctx,get_frame_
895,mask,get_frame_
896,buf,set_count_
897,ret,get_frame_
898,ret,ret_Val_
899,ret,ret_Val_
900,startcode,get_frame_
901,nargs,init_Val_
902,errp,set_count_
904,aio_context,get_frame_
905,write,ret_Val_
907,con,get_frame_
908,vs,init_Val_
909,size,get_frame_
910,op,get_frame_
911,addr1,get_frame_
912,flags,get_count_
913,buffer,get_count_
915,ds,ret_Val_
916,buf,get_count_
917,client,get_frame_
918,qdev,set_count_
919,bs,set_count_
920,i,init_Val_
921,prd,get_frame_
922,fclk,init_Val_
923,sector_num,ret_Val_
925,proxy,ret_Val_
926,r,get_count_
927,i,init_Val_
928,res,get_count_
929,s,init_Val_
930,i,get_count_
931,addr,init_Val_
932,c,ret_Val_
933,code,ret_Val_
934,tags,get_count_
935,h,get_frame_
936,i,get_frame_
937,quant,ret_Val_
938,irrv,init_Val_
939,sd,get_frame_
940,pi440fx_state,set_count_
942,number,init_Val_
943,ret,get_count_
944,src,get_count_
945,offset,set_count_
946,offset,set_count_
947,arg1,get_frame_
948,path,init_Val_
949,i,get_count_
950,json,init_Val_
951,obj,ret_Val_
952,len,set_count_
954,env,ret_Val_
955,s,ret_Val_
956,avctx,get_frame_
957,ram_size,init_Val_
958,s,init_Val_
960,s,get_count_
961,r,set_count_
962,vid,set_count_
963,src,get_frame_
964,track,set_count_
965,xendev,init_Val_
966,sock,get_count_
967,mainb,get_count_
968,num_pixels,get_count_
970,type,ret_Val_
971,i,ret_Val_
972,has_name,ret_Val_
973,amr_prot,ret_Val_
974,parent,get_frame_
975,s,init_Val_
976,p,get_frame_
977,r,get_count_
978,cpu_flags,set_count_
979,res,get_frame_
981,ifm_next,get_count_
983,value,get_count_
984,i,init_Val_
985,length,ret_Val_
986,qxl,get_count_
987,ret,init_Val_
988,vc,set_count_
989,cb,init_Val_
990,s,ret_Val_
991,start1,init_Val_
992,err,get_count_
993,s,ret_Val_
994,in,set_count_
995,i,set_count_
996,size,get_count_
997,l1,set_count_
998,ret,get_count_
999,str,ret_Val_
1000,bs,init_Val_
1001,queues,init_Val_
1002,addr,get_count_
1003,request,init_Val_
1004,iomemtype,get_count_
1005,s,init_Val_
1006,vdev,set_count_
1007,ret,get_count_
1009,dst,ret_Val_
1011,env1,init_Val_
1012,class,ret_Val_
1013,pr,ret_Val_
1014,kernel_filename,set_count_
1017,d,get_count_
1018,ret,set_count_
1019,ctx,set_count_
1021,i,set_count_
1022,codec,ret_Val_
1023,bit_rate_ext,set_count_
1024,avctx,set_count_
1025,cpu_fprintf,get_frame_
1026,env,ret_Val_
1027,pc,ret_Val_
1028,st,ret_Val_
1029,i,set_count_
1030,initfunc,set_count_
1031,section,ret_Val_
1032,idx,ret_Val_
1033,i,init_Val_
1034,as,get_count_
1035,data,get_count_
1036,tag,init_Val_
1037,page_index,ret_Val_
1038,h,get_count_
1039,klass,get_count_
1040,function,set_count_
1041,i,ret_Val_
1042,qiov,get_frame_
1043,avctx,get_count_
1044,avctx,set_count_
1045,tn,set_count_
1047,addr,get_count_
1048,ret,ret_Val_
1049,opts,get_count_
1050,common,ret_Val_
1051,d,ret_Val_
1052,coding_method,init_Val_
1053,rsp,set_count_
1054,accel,set_count_
1055,s,get_count_
1056,data,set_count_
1057,cb,get_count_
1058,idx,init_Val_
1059,avctx,init_Val_
1060,done_smc,init_Val_
1061,addr,get_frame_
1062,vlc,get_frame_
1063,level,get_count_
1064,name,ret_Val_
1065,avctx,ret_Val_
1066,cur,set_count_
1067,value,ret_Val_
1068,arg1,get_count_
1070,out_line_size,init_Val_
1071,avctx,init_Val_
1072,offset,set_count_
1073,snroffst,get_count_
1074,obj,init_Val_
1075,r,init_Val_
1076,ret,set_count_
1078,i,get_count_
1079,mem_buf,get_frame_
1080,res,init_Val_
1081,j,get_count_
1082,atom,set_count_
1083,s,init_Val_
1084,v,get_count_
1085,hours,set_count_
1086,ret,init_Val_
1087,ret,get_frame_
1088,t,init_Val_
1089,errp,set_count_
1090,env,get_count_
1091,mon,init_Val_
1092,r,get_count_
1093,i,init_Val_
1094,dts,get_count_
1095,index,init_Val_
1097,avctx,set_count_
1098,string,init_Val_
1099,i,set_count_
1100,section_id,ret_Val_
1102,q,set_count_
1103,qiv,get_count_
1104,avctx,init_Val_
1105,pos,get_frame_
1106,val,get_count_
1108,offload,get_count_
1109,result,set_count_
1110,d,set_count_
1111,pts,get_frame_
1112,dev,get_frame_
1113,cap_list,get_count_
1114,env,set_count_
1115,i,set_count_
1116,list,init_Val_
1118,s,set_count_
1119,ioreq,ret_Val_
1120,i,ret_Val_
1121,src,ret_Val_
1122,section,get_frame_
1123,buf,get_count_
1125,env,get_frame_
1126,s1,get_count_
1127,bytes_sent,get_frame_
1128,skip_amount,ret_Val_
1129,i,set_count_
1130,offset,set_count_
1131,dc,set_count_
1132,client,get_frame_
1133,ast,init_Val_
1134,ctxt,get_count_
1135,out,ret_Val_
1136,avctx,get_count_
1137,G,get_count_
1138,index,ret_Val_
1139,i,set_count_
1142,err,get_count_
1143,avctx,init_Val_
1144,aspect_ratio_info_present_flag,get_frame_
1145,alac,get_count_
1148,options,init_Val_
1151,ret,ret_Val_
1152,req,get_count_
1153,name,ret_Val_
1155,f,get_frame_
1156,oc,get_frame_
1157,i,init_Val_
1158,port,get_frame_
1160,avctx,set_count_
1162,cpu,init_Val_
1163,out_data,ret_Val_
1164,dc,set_count_
1165,ret,ret_Val_
1167,trapnr,ret_Val_
1168,s,get_frame_
1169,size,get_count_
1170,line,set_count_
1171,i,init_Val_
1172,data,get_frame_
1173,band,get_frame_
1174,env,get_count_
1175,s,get_count_
1176,vdev,get_count_
1177,used_count,set_count_
1178,par,set_count_
1179,rc,get_count_
1180,uu,ret_Val_
1181,sa,ret_Val_
1182,ctx,get_frame_
1183,interrupt_request,set_count_
1184,off_idx,init_Val_
1185,buf,init_Val_
1186,obj,ret_Val_
1187,again,init_Val_
1188,timeout,get_count_
1189,buf,init_Val_
1190,fh,set_count_
1191,table_data,set_count_
1192,i,init_Val_
1193,coeffs,get_frame_
1194,offset,init_Val_
1196,is,get_count_
1197,s,set_count_
1198,num_rel_trail,init_Val_
1199,avctx,get_count_
1200,f,set_count_
1201,bits,get_count_
1202,val,get_frame_
1203,linker,init_Val_
1204,cluster_index,get_count_
1205,len,get_frame_
1206,s,ret_Val_
1207,avctx,ret_Val_
1208,opaque,get_frame_
1209,xfds,get_count_
1210,diff,set_count_
1211,kernel_filename,get_frame_
1212,ide_base,ret_Val_
1213,r1,get_count_
1214,ret,set_count_
1215,checksum,init_Val_
1217,vs,set_count_
1219,sd,get_count_
1222,bs,get_count_
1223,c,get_frame_
1224,y1c,get_count_
1225,dxva_data,init_Val_
1226,h,get_count_
1227,data,init_Val_
1228,pkt,set_count_
1229,dev,get_frame_
1230,op,get_count_
1231,of_dpa,ret_Val_
1232,cpu_irqs,get_count_
1233,ret,ret_Val_
1234,frame_size,get_frame_
1235,breakpoint,get_count_
1236,bc,get_count_
1237,rsplen,init_Val_
1238,queue,get_frame_
1239,bandwidth_limit,ret_Val_
1240,vdev,get_count_
1241,s,set_count_
1242,sector_num,init_Val_
1243,ratio,set_count_
1244,mon,set_count_
1246,errp,set_count_
1247,inlink,get_frame_
1248,mx,init_Val_
1249,s,set_count_
1250,dev,set_count_
1251,ret,init_Val_
1252,i,get_frame_
1253,mask,init_Val_
1254,ctx,get_frame_
1255,i,ret_Val_
1256,src,get_frame_
1257,srcStride,get_count_
1258,s,set_count_
1259,addr,ret_Val_
1260,addr,get_count_
1261,bs,get_count_
1262,keycode,set_count_
1263,s,ret_Val_
1264,fix,init_Val_
1265,size,get_count_
1266,count,set_count_
1267,den,get_count_
1268,ctx,set_count_
1269,env,get_frame_
1270,nargs,set_count_
1272,ret,ret_Val_
1273,xor,get_count_
1274,size,get_count_
1275,vser,get_frame_
1276,test_sample,init_Val_
1277,cpu,set_count_
1278,sum,get_count_
1279,speed,set_count_
1280,tcet,ret_Val_
1281,vq,ret_Val_
1282,rc,get_frame_
1283,ehci,init_Val_
1284,index,get_frame_
1285,buf_index,get_frame_
1286,avctx,init_Val_
1287,is_user,get_frame_
1288,buf,get_frame_
1289,buf,set_count_
1290,drop,set_count_
1291,alac,get_frame_
1292,src_x,get_count_
1294,addr,set_count_
1295,ctx,init_Val_
1296,timeout,get_frame_
1297,vlc,get_count_
1298,avctx,get_frame_
1299,cbits,ret_Val_
1300,i,get_count_
1301,cpu_index,get_frame_
1302,qdev,set_count_
1303,buffer,get_count_
1304,f,ret_Val_
1305,cpc,set_count_
1306,env,set_count_
1307,spapr,ret_Val_
1308,fclk,get_count_
1309,rom_memory,set_count_
1310,len,get_count_
1311,rsplen,get_count_
1312,s,get_count_
1313,buf,get_frame_
1314,chr,get_frame_
1315,rc,get_frame_
1316,h,ret_Val_
1317,dev,ret_Val_
1318,l2_table,init_Val_
1320,i,set_count_
1321,exp,init_Val_
1322,pts,init_Val_
1323,dev,init_Val_
1324,pkt,get_count_
1325,q,get_frame_
1327,oc,ret_Val_
1328,avctx,get_frame_
1329,errp,init_Val_
1330,r,get_count_
1331,ret,init_Val_
1332,i,get_frame_
1333,cg,set_count_
1334,pos,ret_Val_
1335,dep,ret_Val_
1336,blk,ret_Val_
1337,cenv,ret_Val_
1338,dst,get_count_
1339,l1,set_count_
1340,is_mmio,ret_Val_
1341,avctx,set_count_
1342,f,set_count_
1343,i,get_count_
1344,ret,set_count_
1345,dsthdr_offset,get_frame_
1347,d2,get_count_
1348,i,ret_Val_
1349,i,get_frame_
1350,size,get_count_
1351,avpkt,get_count_
1352,s,get_frame_
1353,listener,init_Val_
1354,s,ret_Val_
1355,val,get_count_
1356,args,init_Val_
